date (utc),connections,logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"January 28, 2021 at 10:09:41 PM",121.37 KB,0.2935710819990296,0,0,0,0
"January 29, 2021 at 10:09:41 PM",120.76 KB,???,0,0,0,0
"January 30, 2021 at 10:09:41 PM",120.45 KB,0.2894907407407407,0,0,0,0
"January 31, 2021 at 10:09:41 PM",120.52 KB,0.2911574074074074,0,0,0,0
"February 1, 2021 at 8:09:41 PM",120.55 KB,0.29255050505050506,0,0,0,0
"February 2, 2021 at 10:08:41 PM",120.59 KB,0.2917254650416934,0,0,0,0
"February 3, 2021 at 10:08:41 PM",120.68 KB,0.28836805555555556,0,0,0,0
"February 4, 2021 at 10:09:41 PM",120.83 KB,0.29102475133009487,0,0,0,0
"February 5, 2021 at 10:09:41 PM",120.92 KB,0.29116898148148146,0,0,0,0
"February 6, 2021 at 10:08:41 PM",120.99 KB,0.2909775306926106,0,0,0,0
"February 7, 2021 at 10:09:41 PM",121.00 KB,0.2926324311820495,0,0,0,0
"February 8, 2021 at 10:09:41 PM",121.06 KB,0.2924305555555556,0,0,0,0
"February 9, 2021 at 10:08:41 PM",121.08 KB,0.29125550150567525,0,0,0,0
"February 10, 2021 at 10:08:41 PM",121.13 KB,0.290625,0,0,0,0
"February 11, 2021 at 10:08:41 PM",121.13 KB,0.2889814814814815,0,0,0,0
"February 12, 2021 at 10:09:41 PM",121.17 KB,0.2909553550774925,0,0,0,0
"February 13, 2021 at 10:09:41 PM",121.27 KB,0.2909953703703704,0,0,0,0
"February 14, 2021 at 10:09:41 PM",121.31 KB,0.29075231481481484,0,0,0,0
"February 15, 2021 at 10:09:41 PM",121.31 KB,0.2925347222222222,0,0,0,0
"February 16, 2021 at 10:08:41 PM",121.32 KB,0.28772295575631224,0,0,0,0
"February 17, 2021 at 10:08:41 PM",121.34 KB,0.29181712962962963,0,0,0,0
"February 18, 2021 at 10:08:41 PM",121.34 KB,0.2884375,0,0,0,0
"February 19, 2021 at 10:08:41 PM",121.61 KB,0.29160879629629627,0,0,0,0
"February 20, 2021 at 10:09:41 PM",121.07 KB,0.29274809160305343,0,0,0,0
"February 21, 2021 at 10:08:41 PM",121.09 KB,0.29152189020152885,0,0,0,0
"February 22, 2021 at 9:08:41 PM",121.14 KB,0.29241545893719806,0,0,0,0
"February 23, 2021 at 10:09:41 PM",121.17 KB,???,0,0,0,0
"February 24, 2021 at 1:11:41 AM",121.17 KB,0.2934981684981685,0,0,0,0
"February 24, 2021 at 10:08:41 PM",109.79 KB,0.2917926279501459,0,0,0,0
"February 25, 2021 at 10:08:41 PM",109.41 KB,0.26166666666666666,0,0,0,0
"February 26, 2021 at 10:08:41 PM",110.66 KB,0.28976851851851854,0,0,0,0
"February 27, 2021 at 10:09:41 PM",117.42 KB,0.2918459403192228,0,0,0,0
"February 28, 2021 at 10:08:41 PM",117.48 KB,0.292471623812833,0,0,0,0
"March 1, 2021 at 9:08:41 PM",117.60 KB,0.2901570048309179,0,0,0,0
"March 2, 2021 at 10:09:41 PM",117.45 KB,0.29248278925161003,0,0,0,0
"March 3, 2021 at 10:09:41 PM",117.45 KB,0.2913888619084387,0,0,0,0
"March 4, 2021 at 10:09:41 PM",117.45 KB,???,0,0,0,0
"March 5, 2021 at 10:08:41 PM",117.45 KB,0.29241371322677784,0,0,0,0
"March 6, 2021 at 10:08:41 PM",117.41 KB,0.2921990740740741,0,0,0,0
"March 7, 2021 at 10:09:41 PM",117.50 KB,0.2922391688503835,0,0,0,0
"March 8, 2021 at 10:09:41 PM",117.50 KB,0.29204854688747234,0,0,0,0
"March 9, 2021 at 10:09:41 PM",117.51 KB,0.2910764293161707,0,0,0,0
"March 10, 2021 at 10:08:41 PM",117.30 KB,0.2913481989365113,0,0,0,0
"March 11, 2021 at 10:08:41 PM",117.38 KB,0.28925925925925927,0,0,0,0
"March 12, 2021 at 10:08:41 PM",117.33 KB,0.2927546296296296,0,0,0,0
"March 13, 2021 at 10:08:41 PM",117.29 KB,0.29336805555555556,0,0,0,0
"March 14, 2021 at 10:09:41 PM",117.29 KB,0.2926324277974505,0,0,0,0
"March 15, 2021 at 10:08:41 PM",117.29 KB,0.2927959264859385,0,0,0,0
"March 16, 2021 at 10:09:41 PM",117.29 KB,0.291764974649954,0,0,0,0
"March 17, 2021 at 10:08:41 PM",117.29 KB,0.29281909072062884,0,0,0,0
"March 18, 2021 at 10:08:42 PM",117.29 KB,???,0,0,0,0
"March 19, 2021 at 9:08:42 PM",117.29 KB,0.29432367149758454,0,0,0,0
"March 20, 2021 at 10:08:42 PM",117.29 KB,0.29213333333333336,0,0,0,0
"March 21, 2021 at 10:09:42 PM",117.29 KB,0.2921119592875318,0,0,0,0
"March 22, 2021 at 10:08:42 PM",117.29 KB,0.29204308547602503,0,0,0,0
"March 23, 2021 at 10:09:42 PM",117.29 KB,0.2919847328244275,0,0,0,0
"March 24, 2021 at 10:09:42 PM",117.29 KB,0.29278935185185184,0,0,0,0
"March 25, 2021 at 10:08:42 PM",117.29 KB,0.2830553625202687,0,0,0,0
"March 26, 2021 at 10:08:42 PM",117.29 KB,0.29189814814814813,0,0,0,0
"March 27, 2021 at 10:08:42 PM",117.29 KB,???,0,0,0,0
"March 28, 2021 at 12:14:42 AM",117.29 KB,0.2882275132275132,0,0,0,0
"March 28, 2021 at 10:08:41 PM",109.31 KB,???,0,0,0,0
"March 29, 2021 at 10:09:41 PM",109.32 KB,0.19526948878093917,0,0,0,0
"March 30, 2021 at 10:09:41 PM",109.32 KB,0.1777662037037037,0,0,0,0
"March 30, 2021 at 11:08:41 PM",109.32 KB,0.196045197740113,0,0,0,0
"March 31, 2021 at 10:09:41 PM",109.32 KB,0.19127443881245473,0,0,0,0
"April 1, 2021 at 10:08:42 PM",109.30 KB,???,0,0,0,0
"April 2, 2021 at 10:08:42 PM",109.29 KB,0.29019675925925925,0,0,0,0
"April 3, 2021 at 10:08:42 PM",109.29 KB,???,0,0,0,0
"April 4, 2021 at 10:09:42 PM",109.29 KB,0.2917765440666204,0,0,0,0
"April 5, 2021 at 10:08:42 PM",109.29 KB,0.2919041000694927,0,0,0,0
"April 6, 2021 at 10:08:42 PM",109.28 KB,0.29049768854742697,0,0,0,0
"April 7, 2021 at 10:08:42 PM",114.11 KB,0.2910995336678295,0,0,0,0
"April 8, 2021 at 10:08:42 PM",117.39 KB,0.2916435185185185,0,0,0,0
"April 9, 2021 at 10:09:42 PM",117.35 KB,0.2917649813990861,0,0,0,0
"April 10, 2021 at 10:09:42 PM",117.35 KB,0.2914930521817934,0,0,0,0
"April 11, 2021 at 10:09:42 PM",117.33 KB,0.2922222256044239,0,0,0,0
"April 12, 2021 at 10:08:42 PM",117.34 KB,0.2923326350204698,0,0,0,0
"April 13, 2021 at 12:13:42 AM",117.33 KB,0.29146666666666665,0,0,0,0
"April 13, 2021 at 10:08:42 PM",113.34 KB,0.2912294043092522,0,0,0,0
